Gold_Cust_ID,DM Mail Date
70734,5/6/2024
73472,7/5/2023
73472,11/6/2023
73472,9/9/2024
73472,5/8/2023
73472,5/8/2023
73472,9/5/2023
73472,4/7/2025
73472,11/18/2024
73472,5/6/2024
73472,4/8/2024
74679,5/8/2023
74679,11/18/2024
74679,9/9/2024
74679,5/6/2024
74679,4/7/2025
74679,11/6/2023
74679,4/8/2024
74679,11/29/2023
74990,11/6/2023
74990,11/18/2024
74990,5/8/2023
81898,5/6/2024
81898,4/7/2025
81898,7/5/2023
81898,11/6/2023
81898,9/9/2024
81898,9/5/2023
81898,4/8/2024
81898,5/8/2023
81898,11/29/2023
86284,5/8/2023
86284,7/5/2023
86284,5/6/2024
86284,4/7/2025
86284,11/29/2023
86284,11/18/2024
86284,11/6/2023
86284,9/5/2023
86284,9/9/2024
86284,4/7/2025
87044,11/29/2023
87044,11/18/2024
87044,9/9/2024
87044,9/5/2023
87044,5/8/2023
87044,4/8/2024
87044,5/6/2024
87044,11/6/2023
87044,7/5/2023
88889,7/5/2023
88889,11/6/2023
88889,5/8/2023
88889,9/5/2023
88889,11/29/2023
88889,5/6/2024
88889,4/8/2024
89260,11/18/2024
89260,5/8/2023
89260,11/6/2023
90170,4/7/2025
90170,4/8/2024
90170,11/18/2024
90170,5/6/2024
90170,5/8/2023
90170,9/9/2024
90493,11/18/2024
90493,4/7/2025
90493,11/6/2023
90493,5/8/2023
90921,9/5/2023
90921,4/7/2025
90921,4/8/2024
90921,11/18/2024
90921,11/29/2023
90921,9/9/2024
90921,5/8/2023
90921,5/6/2024
90921,7/5/2023
90921,11/6/2023
93130,9/5/2023
93130,9/9/2024
93130,5/8/2023
93130,9/5/2023
93130,5/6/2024
93130,11/6/2023
93130,5/8/2023
93130,5/6/2024
93130,11/29/2023
93130,11/6/2023
93130,4/8/2024
93130,4/7/2025
93130,11/18/2024
93130,11/18/2024
93130,7/5/2023
93130,4/7/2025
94199,11/29/2023
94199,5/8/2023
94199,9/5/2023
94199,11/6/2023
94199,7/5/2023
94199,4/7/2025
94199,11/18/2024
97647,4/7/2025
97647,9/5/2023
97647,11/29/2023
97647,5/6/2024
97647,5/8/2023
97647,7/5/2023
97647,11/18/2024
97647,9/9/2024
97647,4/8/2024
97647,11/6/2023
97779,11/6/2023
97779,11/18/2024
97779,11/29/2023
97779,5/8/2023
97779,9/9/2024
97779,7/5/2023
97779,4/7/2025
97779,5/6/2024
97779,4/7/2025
97779,4/8/2024
97779,5/6/2024
97793,5/6/2024
97793,7/10/2023
97793,7/5/2023
97793,11/6/2023
97793,9/5/2023
97793,4/8/2024
97793,11/29/2023
97793,5/8/2023
99625,5/6/2024
99625,9/5/2023
99625,11/18/2024
99625,5/8/2023
99625,7/5/2023
99625,9/9/2024
99625,4/8/2024
99625,11/29/2023
99625,4/7/2025
99625,11/6/2023
101546,4/8/2024
101546,11/6/2023
101546,9/9/2024
101546,11/29/2023
101546,5/6/2024
101546,5/8/2023
101546,7/5/2023
101546,9/5/2023
101632,4/8/2024
101632,11/18/2024
101632,5/8/2023
101632,11/6/2023
101632,11/29/2023
101632,5/6/2024
101632,9/9/2024
101632,7/5/2023
101632,9/5/2023
104315,9/9/2024
104315,4/8/2024
104315,7/5/2023
104315,4/7/2025
104315,5/8/2023
104315,11/29/2023
104315,11/6/2023
104315,9/5/2023
104315,5/6/2024
105024,5/8/2023
105024,9/5/2023
105024,11/6/2023
105024,5/6/2024
105024,4/7/2025
105024,11/18/2024
105024,11/29/2023
107992,7/5/2023
107992,5/6/2024
107992,11/18/2024
107992,9/9/2024
107992,5/8/2023
107992,11/6/2023
107992,4/7/2025
107992,11/29/2023
109241,11/6/2023
109286,11/6/2023
109286,9/5/2023
109286,5/6/2024
109286,4/7/2025
109286,7/5/2023
109286,11/18/2024
109286,11/29/2023
109286,9/9/2024
109286,4/8/2024
112424,9/9/2024
112424,11/29/2023
112424,7/5/2023
112424,11/6/2023
112424,5/6/2024
112424,11/18/2024
112424,5/8/2023
112424,9/5/2023
112424,4/7/2025
112424,4/8/2024
114268,5/8/2023
114268,11/6/2023
114268,4/7/2025
114268,11/18/2024
117290,5/8/2023
117290,11/6/2023
117290,5/6/2024
117290,4/8/2024
117290,9/9/2024
117290,7/5/2023
117290,9/5/2023
117290,11/29/2023
117587,11/6/2023
117587,5/8/2023
117587,9/5/2023
118358,9/9/2024
118358,11/29/2023
118358,4/7/2025
118358,11/18/2024
118358,9/5/2023
118358,5/8/2023
118358,7/5/2023
118358,5/6/2024
118358,11/6/2023
118358,4/8/2024
125708,5/6/2024
125708,9/5/2023
125708,5/8/2023
125708,7/5/2023
125708,11/18/2024
125708,9/9/2024
125708,4/8/2024
125708,4/7/2025
125708,11/6/2023
126805,4/8/2024
126805,9/9/2024
126805,5/8/2023
126805,5/6/2024
126805,11/29/2023
126805,7/5/2023
126805,11/18/2024
126805,7/5/2023
126805,9/5/2023
126805,5/8/2023
126805,11/6/2023
126881,11/18/2024
126881,9/9/2024
126881,4/7/2025
126881,11/29/2023
126881,9/5/2023
126881,11/6/2023
126881,4/8/2024
126881,5/8/2023
126881,5/6/2024
132072,9/5/2023
132072,9/9/2024
132072,4/8/2024
132072,11/18/2024
132072,5/6/2024
132072,11/6/2023
132072,5/8/2023
132072,7/5/2023
132072,4/7/2025
132072,11/29/2023
136837,11/6/2023
136837,11/29/2023
136837,9/5/2023
136837,5/8/2023
137524,11/6/2023
137524,5/6/2024
137524,11/18/2024
137524,9/9/2024
137524,4/8/2024
137524,11/29/2023
138591,11/18/2024
138591,5/8/2023
138591,4/7/2025
138591,7/5/2023
138591,9/9/2024
138591,11/6/2023
138591,5/6/2024
138591,9/5/2023
138732,4/7/2025
138732,5/6/2024
138732,9/5/2023
138732,11/29/2023
138732,11/18/2024
138732,7/5/2023
138732,5/8/2023
138732,11/6/2023
148152,5/8/2023
148152,9/5/2023
148152,4/7/2025
148152,11/18/2024
148152,7/5/2023
148152,11/6/2023
150739,4/8/2024
150739,11/6/2023
150739,7/5/2023
150739,5/8/2023
150739,9/9/2024
150739,9/5/2023
150739,5/6/2024
150739,11/29/2023
152370,7/5/2023
152370,5/30/2023
152370,9/5/2023
152370,11/18/2024
152370,9/9/2024
152370,4/8/2024
155272,11/18/2024
168748,11/6/2023
168748,5/8/2023
168748,11/18/2024
168748,4/7/2025
168748,9/5/2023
168843,4/8/2024
168843,11/29/2023
168843,7/5/2023
168843,9/5/2023
168843,5/6/2024
168843,9/9/2024
168843,11/6/2023
168843,5/8/2023
172464,4/7/2025
172464,5/6/2024
172464,11/18/2024
174115,11/29/2023
174115,5/6/2024
174115,11/18/2024
174115,9/5/2023
174115,4/7/2025
174115,11/6/2023
174115,4/8/2024
174115,7/5/2023
174115,5/8/2023
179404,5/8/2023
179404,11/18/2024
179404,11/6/2023
179404,4/7/2025
179404,4/8/2024
179404,5/6/2024
179404,7/5/2023
179404,9/9/2024
179920,5/6/2024
179920,7/5/2023
179920,9/9/2024
179920,11/29/2023
179920,5/8/2023
179920,4/8/2024
179920,11/6/2023
182025,9/9/2024
182025,11/6/2023
182025,11/29/2023
182025,9/5/2023
182025,5/6/2024
182025,7/5/2023
182025,4/7/2025
182025,4/8/2024
182025,11/18/2024
182025,5/8/2023
187283,5/6/2024
187283,11/6/2023
187283,4/7/2025
187283,11/18/2024
187283,7/5/2023
187283,9/9/2024
187283,4/8/2024
187283,11/29/2023
187283,5/8/2023
187283,9/5/2023
187283,9/5/2023
189199,11/6/2023
189199,11/18/2024
189199,5/6/2024
189199,4/7/2025
189199,4/8/2024
192358,7/5/2023
192358,11/29/2023
192358,9/9/2024
192358,5/6/2024
192358,5/8/2023
192358,4/8/2024
192358,11/6/2023
192358,5/8/2023
192358,7/5/2023
192358,11/18/2024
197343,11/18/2024
197343,5/6/2024
197343,11/6/2023
197343,9/5/2023
197343,4/7/2025
197343,5/8/2023
198156,11/18/2024
198156,11/29/2023
198156,11/6/2023
198156,9/9/2024
198156,9/5/2023
198156,5/6/2024
198156,7/5/2023
199789,5/8/2023
199945,5/8/2023
199945,11/6/2023
199945,9/5/2023
199945,11/18/2024
203799,5/8/2023
203799,11/6/2023
203799,5/6/2024
203799,4/8/2024
203799,11/29/2023
203799,11/18/2024
203799,9/9/2024
203799,9/5/2023
203799,5/8/2023
203799,7/5/2023
207269,8/14/2023
207269,9/5/2023
207269,7/10/2023
207868,4/7/2025
207868,11/18/2024
207868,11/29/2023
207868,11/29/2023
207868,9/9/2024
207868,9/5/2023
207868,11/6/2023
207868,11/18/2024
207868,5/8/2023
207868,4/8/2024
207868,11/6/2023
207868,5/6/2024
209589,11/6/2023
209589,11/18/2024
209589,4/7/2025
211699,7/5/2023
211699,9/5/2023
211699,11/18/2024
211699,5/30/2023
211699,4/7/2025
211699,4/8/2024
211699,11/6/2023
211699,9/9/2024
211699,11/29/2023
215136,5/8/2023
215435,5/8/2023
215853,11/29/2023
215853,9/9/2024
215853,4/8/2024
215853,10/16/2023
215853,9/5/2023
215853,4/7/2025
215853,11/6/2023
215853,11/18/2024
215853,5/6/2024
217598,5/8/2023
221837,9/9/2024
221837,11/6/2023
221837,5/8/2023
221837,5/6/2024
221837,4/7/2025
221837,11/29/2023
221837,7/5/2023
221837,4/8/2024
221837,9/5/2023
221837,11/18/2024
223035,9/5/2023
223035,11/18/2024
223035,4/8/2024
223035,5/6/2024
223035,5/8/2023
223035,4/7/2025
223035,11/29/2023
223035,11/6/2023
223410,9/9/2024
223410,4/8/2024
223410,5/8/2023
223410,11/6/2023
223410,9/5/2023
223410,4/7/2025
223410,11/29/2023
223410,7/5/2023
223410,5/6/2024
223410,11/18/2024
227519,5/8/2023
227519,4/7/2025
227519,11/18/2024
235037,5/8/2023
235037,9/5/2023
238559,11/6/2023
238559,7/5/2023
238559,11/18/2024
238559,5/8/2023
239495,11/29/2023
239495,7/5/2023
239495,9/5/2023
239495,11/6/2023
239495,5/8/2023
239495,4/8/2024
239495,9/9/2024
239495,5/6/2024
241354,5/8/2023
241354,11/6/2023
241354,11/29/2023
241354,7/5/2023
241354,5/6/2024
241354,11/18/2024
241354,9/5/2023
241354,4/7/2025
243203,5/6/2024
243203,4/8/2024
243203,9/9/2024
243203,11/6/2023
243203,4/7/2025
243203,7/5/2023
243203,9/5/2023
243203,11/18/2024
243203,5/8/2023
243203,11/29/2023
243872,5/6/2024
243872,4/7/2025
243872,5/8/2023
243872,9/5/2023
243872,11/29/2023
243872,9/9/2024
243872,7/5/2023
243872,11/6/2023
245023,5/8/2023
245023,7/5/2023
245153,7/5/2023
245153,9/9/2024
245153,11/6/2023
245153,5/8/2023
245153,11/18/2024
245153,4/7/2025
245153,11/29/2023
245153,9/5/2023
245153,5/6/2024
246148,7/5/2023
246148,9/5/2023
246148,11/18/2024
246148,11/6/2023
246148,4/7/2025
246148,5/8/2023
247506,5/8/2023
247506,9/9/2024
247506,5/6/2024
247506,11/29/2023
247506,9/5/2023
247506,11/6/2023
247506,4/8/2024
248665,7/5/2023
248665,5/8/2023
248665,9/5/2023
248665,11/18/2024
248665,4/8/2024
248665,5/6/2024
248665,11/6/2023
248665,4/7/2025
250566,4/7/2025
250566,9/9/2024
250566,11/18/2024
250566,5/6/2024
250566,9/5/2023
250566,5/8/2023
250566,7/5/2023
250566,4/8/2024
250566,11/6/2023
250566,11/29/2023
253300,4/7/2025
259645,11/29/2023
259645,5/6/2024
259645,9/9/2024
259645,5/8/2023
259645,7/5/2023
259645,4/8/2024
259645,11/6/2023
266267,11/29/2023
266267,11/18/2024
266267,9/9/2024
266267,4/7/2025
266267,5/6/2024
266267,5/8/2023
266267,4/8/2024
266267,9/5/2023
266267,11/6/2023
267526,11/29/2023
267526,11/6/2023
270728,9/5/2023
270728,7/5/2023
270728,11/29/2023
270728,11/18/2024
270728,11/6/2023
270728,9/9/2024
270728,4/7/2025
270728,4/8/2024
270728,5/8/2023
270728,5/6/2024
272770,4/7/2025
272770,9/5/2023
272770,11/29/2023
272770,11/6/2023
272770,9/9/2024
272770,11/18/2024
272770,5/8/2023
272770,4/8/2024
272770,5/6/2024
277226,11/29/2023
277226,11/18/2024
277226,11/6/2023
277226,9/5/2023
277226,4/8/2024
277226,5/6/2024
277226,4/7/2025
277226,7/5/2023
277226,5/8/2023
278134,5/8/2023
278134,11/6/2023
278134,4/8/2024
278134,9/9/2024
278134,5/6/2024
278134,11/29/2023
278134,9/5/2023
278134,7/5/2023
289099,5/6/2024
289099,4/7/2025
289099,7/5/2023
289099,11/18/2024
289099,9/5/2023
289099,11/6/2023
289099,9/9/2024
289099,5/8/2023
298804,5/8/2023
298804,11/6/2023
298804,11/18/2024
298804,5/6/2024
298804,9/5/2023
298804,7/5/2023
298804,9/5/2023
298804,11/29/2023
298804,5/8/2023
298804,4/7/2025
298804,11/6/2023
298804,11/29/2023
298804,4/7/2025
298804,5/6/2024
298804,4/8/2024
298804,11/18/2024
300327,5/8/2023
300327,7/5/2023
300327,11/18/2024
300327,11/6/2023
300327,5/6/2024
300327,4/7/2025
300327,4/8/2024
300327,9/9/2024
300327,11/29/2023
301179,4/7/2025
301179,7/5/2023
301179,5/8/2023
301179,11/6/2023
301179,9/5/2023
302664,11/29/2023
302664,9/9/2024
302664,5/8/2023
302664,4/8/2024
302664,7/5/2023
302664,5/8/2023
302664,5/6/2024
302664,11/18/2024
302664,9/5/2023
302664,11/6/2023
307198,5/8/2023
307198,11/6/2023
307198,4/7/2025
307198,7/5/2023
307198,11/29/2023
307198,9/9/2024
307198,9/5/2023
311791,5/6/2024
311791,7/5/2023
311791,4/7/2025
311791,11/18/2024
311791,5/8/2023
311791,11/6/2023
311791,9/5/2023
312300,5/8/2023
312300,11/6/2023
312300,9/5/2023
312300,5/6/2024
312300,7/5/2023
313016,4/8/2024
313016,11/6/2023
313016,9/5/2023
313016,4/7/2025
313016,5/6/2024
313016,9/9/2024
313016,11/29/2023
313016,11/18/2024
313016,5/8/2023
313096,11/18/2024
313096,4/8/2024
313096,11/29/2023
313096,9/9/2024
313096,7/5/2023
313096,4/7/2025
313096,11/6/2023
313096,11/18/2024
313096,9/5/2023
313096,5/6/2024
317775,5/8/2023
317775,11/18/2024
317775,9/5/2023
317775,4/7/2025
317775,5/6/2024
317775,11/6/2023
317775,9/9/2024
326358,11/29/2023
326358,4/8/2024
326358,11/18/2024
326358,5/6/2024
326358,9/9/2024
326358,5/8/2023
326358,4/7/2025
326358,9/5/2023
326358,11/6/2023
326358,7/5/2023
332114,5/6/2024
332114,9/5/2023
332114,4/8/2024
332114,11/18/2024
332114,7/5/2023
332114,11/6/2023
332114,4/7/2025
332114,9/9/2024
332114,5/8/2023
335555,11/29/2023
335555,5/6/2024
335555,9/5/2023
335555,11/6/2023
335555,4/7/2025
335555,5/8/2023
335555,11/18/2024
335555,7/5/2023
335555,4/8/2024
335555,9/9/2024
336390,4/7/2025
336390,5/8/2023
336390,11/29/2023
336390,9/9/2024
336390,9/5/2023
336390,11/6/2023
336390,5/6/2024
336390,11/18/2024
336390,7/5/2023
336390,4/8/2024
336752,5/8/2023
336752,11/18/2024
336868,11/6/2023
336868,7/5/2023
336868,4/7/2025
336868,11/18/2024
336868,5/6/2024
336868,11/29/2023
336868,9/5/2023
336868,5/8/2023
336949,11/18/2024
336949,5/8/2023
336949,4/8/2024
336949,11/6/2023
336949,4/7/2025
336949,5/6/2024
339113,11/29/2023
339113,11/18/2024
339113,4/8/2024
339113,9/9/2024
339113,7/5/2023
339113,5/8/2023
339113,9/5/2023
339113,11/6/2023
339113,5/6/2024
339296,9/5/2023
339296,11/18/2024
339296,4/7/2025
339296,9/9/2024
339296,11/29/2023
339296,5/6/2024
339296,4/8/2024
339296,11/6/2023
339296,7/5/2023
339296,5/8/2023
340642,9/5/2023
340642,7/10/2023
340642,4/8/2024
340642,11/6/2023
340642,7/5/2023
340642,5/6/2024
340642,11/18/2024
340642,11/29/2023
340642,9/9/2024
341136,9/9/2024
341136,4/7/2025
341136,7/5/2023
341136,4/8/2024
341136,11/6/2023
341136,9/5/2023
341136,5/8/2023
341136,11/18/2024
341136,5/6/2024
341136,11/29/2023
346455,5/6/2024
346455,4/7/2025
346455,9/9/2024
346455,11/18/2024
346455,4/8/2024
347276,7/5/2023
347276,5/6/2024
347276,5/8/2023
347276,11/18/2024
347276,9/5/2023
347276,11/29/2023
347276,9/9/2024
347276,11/6/2023
354876,11/29/2023
354876,5/6/2024
354876,4/7/2025
354876,7/5/2023
354876,5/8/2023
354876,11/6/2023
354876,9/5/2023
354876,11/18/2024
354876,9/9/2024
354876,4/8/2024
358476,11/6/2023
358476,7/5/2023
358476,5/6/2024
358476,4/8/2024
358476,11/29/2023
358476,11/18/2024
358476,9/9/2024
358476,4/7/2025
358476,5/8/2023
358984,7/5/2023
358984,5/8/2023
358984,11/18/2024
358984,11/6/2023
358984,9/5/2023
358984,11/29/2023
362189,9/5/2023
362189,11/29/2023
362189,9/9/2024
362189,7/5/2023
362189,11/18/2024
362189,5/6/2024
362189,5/8/2023
362189,4/7/2025
362189,11/6/2023
365336,11/29/2023
365336,5/6/2024
365336,9/5/2023
365336,5/8/2023
365336,11/18/2024
365336,11/6/2023
365336,4/8/2024
365336,5/8/2023
365336,9/9/2024
368544,11/29/2023
368544,5/6/2024
368544,9/9/2024
368544,11/6/2023
368544,4/8/2024
368544,11/18/2024
368544,7/5/2023
368544,9/5/2023
368544,4/7/2025
368544,5/8/2023
375562,5/8/2023
375562,11/6/2023
384223,5/6/2024
384223,4/7/2025
384223,11/6/2023
384223,11/18/2024
385084,11/29/2023
385084,9/5/2023
385084,11/18/2024
385084,4/8/2024
385084,11/6/2023
385084,5/6/2024
385084,4/7/2025
387402,11/18/2024
390022,11/18/2024
390415,11/29/2023
390415,5/8/2023
390415,9/5/2023
390415,4/7/2025
390415,5/6/2024
390415,11/18/2024
390415,4/8/2024
390415,9/9/2024
390415,11/6/2023
390415,7/5/2023
392646,7/5/2023
392646,9/5/2023
392646,11/18/2024
392646,5/6/2024
392646,4/7/2025
392646,5/8/2023
392646,9/9/2024
392646,11/29/2023
392646,4/8/2024
392646,11/6/2023
393235,5/8/2023
393235,4/8/2024
393235,7/5/2023
393235,11/18/2024
393235,5/6/2024
393235,11/29/2023
393235,11/6/2023
393235,4/7/2025
393235,9/5/2023
396624,9/5/2023
396624,5/8/2023
396624,4/8/2024
396624,4/7/2025
396624,5/8/2023
396624,5/6/2024
396624,7/5/2023
396624,9/9/2024
396624,11/29/2023
396624,7/5/2023
396624,11/6/2023
396624,11/18/2024
396682,4/8/2024
396682,5/8/2023
396682,11/6/2023
396682,5/6/2024
401565,5/8/2023
405844,11/6/2023
405844,7/5/2023
405844,4/8/2024
405844,5/6/2024
405844,4/7/2025
405844,11/29/2023
405844,9/5/2023
405844,5/8/2023
408747,5/8/2023
409027,9/5/2023
409027,4/7/2025
409027,4/7/2025
409027,11/6/2023
409027,5/6/2024
409027,7/5/2023
409027,11/6/2023
409027,9/5/2023
409027,4/8/2024
409027,5/8/2023
409027,9/9/2024
409027,9/9/2024
409027,5/8/2023
409027,5/6/2024
409027,11/18/2024
409027,11/18/2024
411555,11/18/2024
411555,9/9/2024
411555,5/6/2024
411790,5/8/2023
411790,11/6/2023
411790,9/9/2024
411790,5/6/2024
411790,11/18/2024
411790,4/8/2024
411790,7/5/2023
413468,4/7/2025
413468,11/6/2023
413468,5/8/2023
413468,11/29/2023
413468,11/18/2024
416734,10/16/2023
416734,11/18/2024
416734,9/9/2024
416734,4/7/2025
416734,9/5/2023
416734,5/8/2023
416734,11/18/2024
416734,9/5/2023
416734,5/6/2024
416734,11/29/2023
416734,4/8/2024
416734,4/7/2025
416734,9/9/2024
416734,1/16/2024
416734,11/6/2023
420300,5/6/2024
420300,11/6/2023
420300,4/8/2024
420300,7/5/2023
420300,4/7/2025
420300,9/9/2024
420300,9/5/2023
420300,11/29/2023
420300,5/8/2023
420300,11/18/2024
422325,4/7/2025
422325,9/5/2023
422325,4/8/2024
422325,7/5/2023
422325,11/29/2023
422325,11/18/2024
422325,9/9/2024
422325,5/6/2024
422325,11/6/2023
422806,5/8/2023
422806,11/6/2023
426420,4/7/2025
426420,9/5/2023
426420,5/8/2023
426420,7/5/2023
426420,9/9/2024
426420,5/6/2024
426420,4/8/2024
426420,11/29/2023
426420,11/6/2023
426420,11/18/2024
427334,5/8/2023
427334,9/9/2024
427334,5/6/2024
427334,4/8/2024
427334,4/7/2025
427334,11/6/2023
427334,9/5/2023
427334,11/18/2024
427334,7/5/2023
427334,11/29/2023
429918,11/29/2023
429918,5/6/2024
429918,11/18/2024
429918,4/7/2025
429918,9/9/2024
429918,5/8/2023
429918,7/5/2023
429918,4/8/2024
429918,9/5/2023
429918,11/6/2023
435387,9/5/2023
435387,11/29/2023
435387,4/8/2024
435387,11/6/2023
435387,9/9/2024
435387,5/6/2024
435387,5/8/2023
435387,7/5/2023
439455,9/5/2023
439455,9/9/2024
439455,11/18/2024
439455,5/8/2023
439455,11/29/2023
439455,11/6/2023
439455,4/8/2024
439455,7/5/2023
439455,5/6/2024
439455,4/7/2025
441490,11/29/2023
441490,11/18/2024
441490,4/7/2025
441490,5/8/2023
441490,11/6/2023
441490,5/6/2024
441490,9/5/2023
444715,11/18/2024
453885,5/6/2024
453885,11/18/2024
453885,7/5/2023
453885,5/8/2023
463046,4/8/2024
463046,11/18/2024
463046,9/9/2024
463046,7/5/2023
463046,9/5/2023
463046,11/6/2023
463046,5/6/2024
463046,11/29/2023
463046,5/8/2023
465602,4/7/2025
465602,11/18/2024
465602,11/29/2023
465602,11/6/2023
466686,11/6/2023
466686,4/7/2025
466686,9/9/2024
466686,4/8/2024
466686,9/5/2023
466686,11/18/2024
466686,11/29/2023
466686,5/6/2024
466686,5/8/2023
467297,5/8/2023
470388,7/5/2023
470388,9/9/2024
470388,5/6/2024
470388,11/18/2024
470388,11/29/2023
470388,9/5/2023
470388,11/6/2023
470388,5/6/2024
470388,4/8/2024
470388,4/7/2025
470388,11/18/2024
473790,11/18/2024
473790,11/6/2023
473790,5/6/2024
473790,9/9/2024
473790,9/5/2023
473790,11/29/2023
473790,4/7/2025
473790,5/8/2023
473790,4/8/2024
473790,7/5/2023
479982,11/29/2023
479982,9/9/2024
479982,5/6/2024
479982,4/8/2024
479982,11/6/2023
479982,5/8/2023
479982,9/5/2023
479982,7/5/2023
479982,4/7/2025
481433,9/5/2023
481433,9/9/2024
481433,7/5/2023
481433,11/29/2023
481433,5/6/2024
481433,4/8/2024
481433,5/8/2023
481433,11/6/2023
489315,4/8/2024
489315,11/6/2023
489315,11/18/2024
489315,9/5/2023
489315,5/8/2023
489315,7/5/2023
489315,4/7/2025
489315,11/29/2023
489315,5/6/2024
498543,9/9/2024
498543,7/5/2023
498543,5/8/2023
498543,4/8/2024
498543,11/29/2023
498543,9/5/2023
498543,4/7/2025
498543,5/6/2024
498543,11/18/2024
498543,11/6/2023
501530,4/7/2025
505383,5/6/2024
505383,9/9/2024
505383,9/5/2023
505383,4/8/2024
505383,11/18/2024
505383,5/8/2023
505383,11/6/2023
505383,5/8/2023
505383,11/29/2023
505383,7/5/2023
505383,7/5/2023
505591,9/5/2023
505591,11/6/2023
505591,5/8/2023
509909,4/7/2025
509909,9/5/2023
509909,11/6/2023
509909,11/18/2024
509909,5/8/2023
509909,11/29/2023
509909,7/5/2023
